host_since;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bedrooms;beds;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;instant_bookable
21/06/2015;3;87.640014;81.277545;f;1;t;Bay_Ridge;Private_room_in_townhouse;Private_room;1;2;3;30;32;1;93.812903;f
15/12/2017;3;87.640014;81.277545;f;1;t;Gowanus;Entire_apartment;Entire_home-apt;2;1;1;30;1125;7;89;f
17/10/2016;3;87.640014;81.277545;f;1;t;Bushwick;Private_room_in_house;Private_room;2;1;1;30;1125;0;93.812903;t
10/09/2012;3;100;100;f;5;t;Gowanus;Entire_apartment;Entire_home-apt;10;1;5;3;365;36;94;t
16/10/2013;3;100;82;t;1;t;Harlem;Entire_guest_suite;Entire_home-apt;5;1;2;3;1125;56;99;f
01/02/2016;3;87.640014;81.277545;f;1;t;Midtown;Entire_apartment;Entire_home-apt;3;1;1;30;1125;0;93.812903;t
14/02/2014;2;100;80;f;3;f;Greenpoint;Private_room_in_apartment;Private_room;2;2;0;1;1125;11;93;t
11/01/2014;3;87.640014;100;t;1;t;Williamsburg;Private_room_in_apartment;Private_room;2;1;1;30;90;37;94;f
30/06/2014;1;71;100;f;7;t;Upper_West_Side;Entire_condominium;Entire_home-apt;1;1;0;30;365;2;60;f
21/12/2014;1;100;95;t;2;t;Two_Bridges;Private_room_in_apartment;Private_room;2;1;1;3;1125;59;96;t
25/12/2015;3;87.640014;81.277545;f;1;f;Williamsburg;Private_room_in_apartment;Private_room;1;1;1;30;1125;2;60;t
10/06/2015;3;87.640014;98;f;2;t;Ditmars_Steinway;Entire_apartment;Entire_home-apt;3;1;2;30;1125;159;96;f
24/07/2016;3;87.640014;81.277545;f;1;t;Long_Island_City;Private_room_in_serviced_apartment;Private_room;2;1;2;30;1125;4;90;f
26/12/2017;3;94;98;f;3;t;Flatiron_District;Room_in_boutique_hotel;Hotel_room;2;1;1;1;29;136;91;t
26/12/2017;3;87.640014;100;t;2;t;Bedford-Stuyvesant;Private_room_in_apartment;Private_room;1;3;1;4;1123;43;98;t
14/04/2013;3;87.640014;81.277545;f;1;t;Bushwick;Entire_apartment;Entire_home-apt;6;3;4;30;1125;1;100;f
13/02/2013;3;100;100;t;2;t;Harlem;Entire_apartment;Entire_home-apt;6;1;3;30;90;52;98;t
05/12/2017;3;87.640014;81.277545;f;2;t;Crown_Heights;Private_room_in_apartment;Private_room;2;1;1;30;1125;3;73;t
13/10/2014;3;87.640014;81.277545;f;1;f;Crown_Heights;Private_room_in_apartment;Private_room;1;1;1;30;1125;0;93.812903;t
02/06/2011;2;100;100;t;1;t;Clinton_Hill;Entire_apartment;Entire_home-apt;3;1;1;30;1125;7;97;f
